test_name,mapped_to_group,tier,group_patients,group_measurements
1.25MG/ML RISTO (AGG) (TEST:BHPRISTH),platelet_aggregation_ristocetin_induced^high_dose,1,11,53
1.25MG/ML RISTO (AGG) (TEST:DHSQE-PRISTH),platelet_aggregation_ristocetin_induced^high_dose,1,11,53
1.25MG/ML RISTO (AGG) (TEST:EL:5200011079),platelet_aggregation_ristocetin_induced^high_dose,1,11,53
1U/ML THROMBIN (SEC) (TEST:BHPTHROM),1u/ml_thrombin_sec_test_bhpthrom,3,11,37
1U/ML THROMBIN (SEC) (TEST:DHSQE-PTHROM),1u/ml_thrombin_sec_test_bhpthrom,3,11,37
1U/ML THROMBIN (SEC) (TEST:EL:5200011230),1u/ml_thrombin_sec_test_bhpthrom,3,11,37
1UG/ML COLLAGEN (AGG) (TEST:BHCOL1P),platelet_aggregation_collagen_induced,1,11,54
1UG/ML COLLAGEN (AGG) (TEST:DHSQE-COL1P),platelet_aggregation_collagen_induced^1_ug/ml,1,9,20
1UG/ML COLLAGEN (AGG) (TEST:EL:5200003537),platelet_aggregation_collagen_induced,1,11,54
1UG/ML COLLAGEN (SEC) (TEST:BHCOL1R),1ug/ml_collagen_sec_test_bhcol1r,3,11,37
1UG/ML COLLAGEN (SEC) (TEST:DHSQE-COL1R),1ug/ml_collagen_sec_test_bhcol1r,3,11,37
1UG/ML COLLAGEN (SEC) (TEST:EL:5200003538),1ug/ml_collagen_sec_test_bhcol1r,3,11,37
5 NUCLEOTIDASE (TEST:DCSQE-5NUCLT),5'-nucleotidase,1,22,190
5 NUCLEOTIDASE (TEST:FC5NUCLT),5'-nucleotidase,1,22,190
5 NUCLEOTIDASE (TEST:MCSQ-5NUC1),5'-nucleotidase,1,22,190
5 NUCLEOTIDASE (TEST:MCSQ-5NUCLT),5'-nucleotidase,1,22,190
5 NUCLEOTIDASE (TEST:MCSQ-A671Z),5'-nucleotidase,1,22,190
5 NUCLEOTIDASE (TEST:NCSQE-5NUCLT),5'-nucleotidase,1,22,190
5 NUCLEOTIDASE (TEST:WC5NUCLT),5'-nucleotidase,1,22,190
5 NUCLEOTIDASE BLOOD (TEST:EL:5200000367),5'-nucleotidase,1,22,190
"5 NUCLEOTIDASE, SERUM (TEST:WC601.0200)",5'-nucleotidase,1,22,190
5' NUC. RESULT (TEST:NCNUC5T),5'-nucleotidase,1,22,190
5' NUCLEOTIDASE (TEST:WC954.0092),5'-nucleotidase,1,22,190
5'-NUCLEOTIDASE (TEST:MC5NUC),5'-nucleotidase,1,22,190
5'-NUCLEOTIDASE (TEST:MCSQ-5NUC),5'-nucleotidase,1,22,190
5'NT (TEST:BC1-43),5'-nucleotidase,1,22,190
5'NUCLOETIDASE (TEST:BC5NT1),5'-nucleotidase,1,22,190
5'NUCLOETIDASE BLOOD (TEST:EL:5200000365),5'-nucleotidase,1,22,190
5UG/ML COLLAGEN (AGG) (TEST:BHCOL5P),platelet_aggregation_collagen_induced^5_ug/ml,1,11,38
5UG/ML COLLAGEN (AGG) (TEST:DHSQE-COL5P),platelet_aggregation_collagen_induced^5_ug/ml,1,11,38
5UG/ML COLLAGEN (AGG) (TEST:EL:5200003540),platelet_aggregation_collagen_induced^5_ug/ml,1,11,38
5UG/ML COLLAGEN (SEC) (TEST:BHCOL5R),5ug/ml_collagen_sec_test_bhcol5r,3,11,37
5UG/ML COLLAGEN (SEC) (TEST:DHSQE-COL5R),5ug/ml_collagen_sec_test_bhcol5r,3,11,37
5UG/ML COLLAGEN (SEC) (TEST:EL:5200003541),5ug/ml_collagen_sec_test_bhcol5r,3,11,37
5UM ADP (AGG) (TEST:BHADPP),platelet_aggregation_adenosine_diphosphate_induced,1,11,57
5UM ADP (AGG) (TEST:DHSQE-ADPP),platelet_aggregation_adenosine_diphosphate_induced^5_umol/l,1,9,20
5UM ADP (AGG) (TEST:EL:5200000904),platelet_aggregation_adenosine_diphosphate_induced,1,11,57
5UM ADP (SEC) (TEST:BHADPR),5um_adp_sec_test_bhadpr,3,11,37
5UM ADP (SEC) (TEST:DHSQE-ADPR),5um_adp_sec_test_bhadpr,3,11,37
5UM ADP (SEC) (TEST:EL:5200000905),5um_adp_sec_test_bhadpr,3,11,37
"90021, INTERLEUKIN 2 RECEPTOR (TEST:DCSQE-ILK2RM)",interleukin_2_receptor,1,52,144
ABG SITE (TEST:SC301.0310),abg_site_blood_test_el_52000169326,3,9,65
ABG SITE (TEST:SCSBABGS),abg_site_blood_test_el_52000169326,3,9,65
ABG SITE BLOOD (TEST:EL:52000169326),abg_site_blood_test_el_52000169326,3,9,65
ACT (TEST:BCACT10),activated_clotting_time,1,375,15407
ACT (TEST:BCACT10H),activated_clotting_time,1,375,15407
ACT CLOTTING TIME (TEST:NCACTCAT),activated_clotting_time,1,375,15407
ACT CLOTTING TIME (TEST:NCACTRAD),activated_clotting_time,1,375,15407
ACT CLOTTING TIME ISTAT (TEST:NCACTIS),activated_clotting_time,1,375,15407
ACT FROM CARDIAC OR (TEST:EL:5200000625),activated_clotting_time,1,375,15407
ACT FROM CARDIAC OR (TEST:MCSQ-ACT20),activated_clotting_time,1,375,15407
ACT FROM CARDIAC OR (TEST:MHSQ-ACT20),activated_clotting_time,1,375,15407
ACT FROM CATH LAB (TEST:MHSQ-ACT40),activated_clotting_time,1,375,15407
ACT FROM EP LAB (TEST:MHSQ-ACT50),activated_clotting_time,1,375,15407
ACT FROM RADIOLOGY (TEST:MHSQ-ACT60),activated_clotting_time,1,375,15407
ACT FROM VASC SURG (TEST:MHSQ-ACT70),activated_clotting_time,1,375,15407
ACT PART THROMB TIME (TEST:MCSQ-ALUPP4),coagulation_surface_induced,1,4642,303996
ACT PART THROMB TIME (TEST:NCSQE-ALUPP4),coagulation_surface_induced,1,4642,303996
ACT PARTIAL THROMBOPLASTIN TIM (TEST:FC70.0400),coagulation_surface_induced,1,4642,303996
ACT PROT C RES PCR (TEST:BHAPCPCR),activated_protein_c_resistance,1,722,2745
ACT PROT C RES PCR (TEST:DHSQE-APCPCR),activated_protein_c_resistance,1,722,2745
ACT PROT C RES PCR (TEST:FHAPCPCR),activated_protein_c_resistance,1,722,2745
ACT PROT C RES PCR (TEST:MHAPCPCR),activated_protein_c_resistance,1,722,2745
ACT PROT C RES PCR (TEST:MHSQ-APCPCR),activated_protein_c_resistance,1,722,2745
ACT PROT C RES PCR (TEST:WHAPCPCR),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:BHAPCRS),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:DHSQE-APCRS),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:FHAPCRS),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:MHAPCRS),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:MHAPCRSC),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:MHSQ-APCRS),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:VHSQE-APCRS),activated_protein_c_resistance,1,722,2745
ACT PROT C RES SCRN (TEST:WHAPCRS),activated_protein_c_resistance,1,722,2745
ACT PROT C RESISTANCE BLOOD (TEST:EL:5200001477),activated_protein_c_resistance,1,722,2745
ACTIVATED CLOT TIME (TEST:EL:5200000630),activated_clotting_time,1,375,15407
ACTIVATED CLOT TIME (TEST:MHSQ-ACT7),activated_clotting_time,1,375,15407
ACTIVATED CLOT TIME (TEST:NHSQE-ACT7),activated_clotting_time,1,375,15407
ACTIVATED CLOTTING TIME (TEST:EL:52000161427),activated_clotting_time,1,375,15407
ACTIVATED CLOTTING TIME (TEST:EL:52000161429),activated_clotting_time,1,375,15407
"ACTIVATED PARTIAL THROMBOPL TIME, P (TEST:FCLUP3)",coagulation_surface_induced,1,4642,303996
"ACTIVATED PARTIAL THROMBOPL TIME, P (TEST:MCSQ-LUP3)",coagulation_surface_induced,1,4642,303996
"ACTIVATED PARTIAL THROMBOPL TIME, P (TEST:NCSQE-LUP3)",coagulation_surface_induced,1,4642,303996
"ACTIVATED PARTIAL THROMBOPL TIME, P (TEST:SCLUP3)",coagulation_surface_induced,1,4642,303996
ACTIVATED PARTIAL THROMBOPLASTIN TIME BLOOD (TEST:EL:5290007133),coagulation_surface_induced,1,4642,303996
ACTIVATED PROTEIN C (PCR) (TEST:WC601.6418),activated_protein_c_resistance,1,722,2745
ACTIVATED PROTEIN C RESISTANCE (TEST:FC50.0226),activated_protein_c_resistance,1,722,2745
ADAMTS 13 EVALUATION (TEST:BC1-1515),von_willebrand_factor_cleaving_protease,1,3,5
ADAMTS13 ACTIVITY (TEST:BCA13ACT),von_willebrand_factor_cleaving_protease_actual/normal,1,35,86
ADAMTS13 ACTIVITY (TEST:MCSQ-A13ACT),von_willebrand_factor_cleaving_protease_actual/normal,1,35,86
ADAMTS13 ACTIVITY (TEST:MCSQ-MADMFX),von_willebrand_factor_cleaving_protease_actual/normal,1,35,86
ADAMTS13 ACTIVITY (TEST:WCMADMFX),von_willebrand_factor_cleaving_protease_actual/normal,1,35,86
ADAMTS13 ACTIVITY BLOOD (TEST:EL:5200000397),von_willebrand_factor_cleaving_protease_actual/normal,1,35,86
ADAMTS13 ACTIVITY BLOOD (TEST:EL:5200008452),von_willebrand_factor_cleaving_protease_actual/normal,1,35,86
ADAMTS13 ANTIBODY (TEST:EL:5200015927),von_willebrand_factor_cleaving_protease_inhibitor,1,6,19
ADAMTS13 INHIBITOR (TEST:EL:5200000399),von_willebrand_factor_cleaving_protease_inhibitor,1,6,19
ADAMTS13 INHIBITOR (TEST:MCSQ-ADMISC),von_willebrand_factor_cleaving_protease_inhibitor,1,6,19
ADAMTS13 INTERP (TEST:MCSQ-MADMIN),coagulation_specialist_review,1,1196,7775
ADAMTS13 INTERP (TEST:WCMADMIN),coagulation_specialist_review,1,1196,7775
ADAMTS13 INTERP BLOOD (TEST:EL:5200008453),coagulation_specialist_review,1,1196,7775
ADP (TEST:BH1-87),platelet_aggregation_adenosine_diphosphate_induced,1,11,57
ADP 5 UM (TEST:BH1-535),platelet_aggregation_adenosine_diphosphate_induced^5_umol/l,1,9,20
ADP 5 UM CHRONO-LUME (TEST:BH1-536),adp_5_um_chrono-lume_test_bh1-536,3,2,2
AGAR CONFIRM (TEST:WC603.3355),hemoglobin_pattern,1,57,373
AGAR ELEC CONFIRMS (TEST:FC77.0300),hemoglobin_pattern,1,57,373
AGRANULAR PLATELET (TEST:WHAGRPLT),platelets_agranular,1,199,829
AGRANULAR PLATELETS (TEST:FH601.0960),platelets_agranular,1,199,829
"ALANINE AMINOTRANSFERASE (ALT), S BLOOD (TEST:EL:5290003484)",alanine_aminotransferase,1,5836,542827
ALBUMIN (TEST:BC1-39),albumin,1,5841,551491
ALBUMIN (TEST:BCALB),albumin,1,5841,551491
ALBUMIN (TEST:DCSQE-ALB),albumin,1,5841,551491
ALBUMIN (TEST:DCSQE-MPSS2),albumin,1,5841,551491
ALBUMIN (TEST:DHSQE-ALB),albumin,1,5841,551491
ALBUMIN (TEST:FC10.0230),albumin,1,5841,551491
ALBUMIN (TEST:FC500.2700),albumin,1,5841,551491
ALBUMIN (TEST:FC500.2750),albumin,1,5841,551491
ALBUMIN (TEST:FCALB),albumin,1,5841,551491
ALBUMIN (TEST:FCEBF3),albumin,1,5841,551491
ALBUMIN (TEST:MC.ALB),albumin,1,5841,551491
ALBUMIN (TEST:MCALB),albumin,1,5841,551491
ALBUMIN (TEST:MCPOL115),albumin,1,5841,551491
ALBUMIN (TEST:MCSQ-ALB),albumin,1,5841,551491
ALBUMIN (TEST:MCSQ-ALB1),albumin,1,5841,551491
ALBUMIN (TEST:MCSQ-ALB4),albumin,1,5841,551491
ALBUMIN (TEST:NCALB),albumin,1,5841,551491
ALBUMIN (TEST:NCSQE-ALB),albumin,1,5841,551491
ALBUMIN (TEST:NHALB),albumin,1,5841,551491
ALBUMIN (TEST:NHSQE-ALB),albumin,1,5841,551491
ALBUMIN (TEST:SC400.2800),albumin,1,5841,551491
ALBUMIN (TEST:SCALB),albumin,1,5841,551491
ALBUMIN (TEST:VCSQE-ALB),albumin,1,5841,551491
ALBUMIN (TEST:VCSQE-PEALB),albumin,1,5841,551491
ALBUMIN (TEST:WC326.2215),albumin,1,5841,551491
ALBUMIN (TEST:WC331.1200),albumin,1,5841,551491
ALBUMIN (TEST:WCALB),albumin,1,5841,551491
ALBUMIN (TEST:WCMPSS2),albumin,1,5841,551491
ALBUMIN BLOOD (TEST:EL:5200001121),albumin,1,5841,551491
ALBUMIN BLOOD (TEST:EL:52000158524),albumin,1,5841,551491
ALBUMIN CEREBROSPINAL FLUID (TEST:EL:5200009397),albumin,1,5841,551491
"ALBUMIN, S (TEST:MCSQ-MSPR10)",albumin,1,5841,551491
ALK PHOS (TEST:BC1-24),alkaline_phosphatase,1,5833,540601
ALK PHOS (TEST:FC500.3700),alkaline_phosphatase,1,5833,540601
ALK PHOS (TEST:MCPOL112),alkaline_phosphatase,1,5833,540601
ALK PHOS (TEST:MCSQ-ALKP4),alkaline_phosphatase,1,5833,540601
ALK PHOS (TEST:NCALK),alkaline_phosphatase,1,5833,540601
ALK PHOS (TEST:NCALKP),alkaline_phosphatase,1,5833,540601
ALK PHOS (TEST:NHALKP),alkaline_phosphatase,1,5833,540601
ALK PHOS (TEST:WC331.1600),alkaline_phosphatase,1,5833,540601
"ALK PHOS, TOTAL (TEST:BCAPHTOT)",alkaline_phosphatase,1,5833,540601
"ALK PHOS, TOTAL (TEST:DCSQE-APHTOT)",alkaline_phosphatase,1,5833,540601
"ALK PHOS, TOTAL (TEST:MCSQ-ALKTOT)",alkaline_phosphatase,1,5833,540601
"ALK PHOS, TOTAL (TEST:MCSQ-APHTOT)",alkaline_phosphatase,1,5833,540601
"ALK PHOS, TOTAL (TEST:NCSQE-APHTOT)",alkaline_phosphatase,1,5833,540601
"ALK PHOS, TOTAL (TEST:WCAPHTOT)",alkaline_phosphatase,1,5833,540601
"ALK PHOS, TOTAL BLOOD (TEST:EL:5200001496)",alkaline_phosphatase,1,5833,540601
"ALK PHOS,TOTAL (TEST:SC402.0000)",alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (ALT METHOD) (TEST:MCALK-A),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:BCALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:DCSQE-ALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:DHSQE-ALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:FC10.0256),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:FCALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:MC.ALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:MCALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:MCSQ-ALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:MCSQ-ALK1),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:NCSQE-ALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:NHSQE-ALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:SCALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:VCSQE-ALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:WC326.2300),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE (TEST:WCALK),alkaline_phosphatase,1,5833,540601
ALKALINE PHOSPHATASE BLOOD (TEST:EL:5200001152),alkaline_phosphatase,1,5833,540601
"ALKALINE PHOSPHATASE, S (TEST:FC83.0390)",alkaline_phosphatase,1,5833,540601
"ALKALINE PHOSPHATE, S (TEST:WC961.2202)",alkaline_phosphatase,1,5833,540601
ALKPHOS (TEST:FC500.3750),alkaline_phosphatase,1,5833,540601
ALPHA-1 GLOBULIN (TEST:DCSQE-MPSS3),albumin,1,5841,551491
ALT (SGPT) (TEST:FC83.2320),alanine_aminotransferase,1,5836,542827
ALT (SGPT) (TEST:FCFHFI12),alanine_aminotransferase,1,5836,542827
ALT (SGPT) (TEST:MCPOL111),alanine_aminotransferase,1,5836,542827
ALT (SGPT) (TEST:MCSQ-ALT4),alanine_aminotransferase,1,5836,542827
ALT (SGPT) (TEST:WC501.6765),alt_sgpt_test_wc953.1334,3,3,6
ALT (SGPT) (TEST:WC953.1334),alt_sgpt_test_wc953.1334,3,3,6
ALT (TEST:BC1-20),alanine_aminotransferase,1,5836,542827
ALT (TEST:BCFHFI12),alanine_aminotransferase,1,5836,542827
ALT (TEST:BCFIBR12),alanine_aminotransferase,1,5836,542827
ALT (TEST:BCSGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:DCSQE-SGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:DHSQE-SGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:FCFIBR12),alanine_aminotransferase,1,5836,542827
ALT (TEST:FCSGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:MCSQ-L92688),alanine_aminotransferase,1,5836,542827
ALT (TEST:NCALT),alanine_aminotransferase,1,5836,542827
ALT (TEST:NCSGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:NHALT),alanine_aminotransferase,1,5836,542827
ALT (TEST:NHSQE-SGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:SCSGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:VCSQE-SGPT),alanine_aminotransferase,1,5836,542827
ALT (TEST:WC326.2245),alanine_aminotransferase,1,5836,542827
ALT (TEST:WCFIBR12),alanine_aminotransferase,1,5836,542827
ALT (TEST:WCL92688),alanine_aminotransferase,1,5836,542827
ALT (TEST:WCSGPT),alanine_aminotransferase,1,5836,542827
ALT / GPT (TEST:FC500.4200),alanine_aminotransferase,1,5836,542827
ALT / GPT (TEST:FC500.4250),alanine_aminotransferase,1,5836,542827
ALT BLOOD (TEST:EL:5200012890),alanine_aminotransferase,1,5836,542827
ALT BLOOD (TEST:EL:5200017239),alanine_aminotransferase,1,5836,542827
"ALT, PLASMA (TEST:WC501.60097)",alanine_aminotransferase,1,5836,542827
ALT/SGPT (TEST:WC331.1700),alanine_aminotransferase,1,5836,542827
ANION GAP (TEST:BC1-19),anion_gap,1,5636,954720
ANION GAP (TEST:BCANION),anion_gap,1,5636,954720
ANION GAP (TEST:BCPANION),anion_gap,1,5636,954720
ANION GAP (TEST:DCSQE-ANION),anion_gap,1,5636,954720
ANION GAP (TEST:DCSQE-PANION),anion_gap,1,5636,954720
ANION GAP (TEST:DHSQE-ANION),anion_gap,1,5636,954720
ANION GAP (TEST:FC500.1270),anion_gap,1,5636,954720
ANION GAP (TEST:FC500.1280),anion_gap,1,5636,954720
ANION GAP (TEST:FCANION),anion_gap,1,5636,954720
ANION GAP (TEST:MCSQ-ANION),anion_gap,1,5636,954720
ANION GAP (TEST:MCSQ-ANION1),anion_gap,1,5636,954720
ANION GAP (TEST:NCAGAP),anion_gap,1,5636,954720
ANION GAP (TEST:NCSQE-ANION),anion_gap,1,5636,954720
ANION GAP (TEST:NHAGAP),anion_gap,1,5636,954720
ANION GAP (TEST:NHSQE-ANION),anion_gap,1,5636,954720
ANION GAP (TEST:SCANION),anion_gap,1,5636,954720
ANION GAP (TEST:VCSQE-ANION),anion_gap,1,5636,954720
ANION GAP (TEST:WC326.2135),anion_gap,1,5636,954720
ANION GAP (TEST:WC331.0450),anion_gap,1,5636,954720
ANION GAP (TEST:WCANION),anion_gap,1,5636,954720
ANION GAP BLOOD (TEST:EL:5200001381),anion_gap,1,5636,954720
ANION GAP BLOOD (TEST:EL:5200010248),anion_gap,1,5636,954720
ANTI CARDIOLIPIN AB (IGG) (TEST:FC50.5050),cardiolipin_ab_igg,1,756,3266
ANTI CARDIOLIPIN AB (IGM) (TEST:FC50.5054),cardiolipin_ab_igm,1,756,3199
ANTI CARDIOLIPIN IGG (TEST:BIACLG),phospholipid_ab_igg,1,448,1131
ANTI CARDIOLIPIN IGG (TEST:DISQE-ACLG),phospholipid_ab_igg,1,448,1131
ANTI CARDIOLIPIN IGG (TEST:FIACLG),phospholipid_ab_igg,1,448,1131
ANTI CARDIOLIPIN IGM (TEST:BIACLM),phospholipid_ab_igm,1,448,1131
ANTI CARDIOLIPIN IGM (TEST:DISQE-ACLM),phospholipid_ab_igm,1,448,1131
ANTI CARDIOLIPIN IGM (TEST:FIACLM),phospholipid_ab_igm,1,448,1131
ANTI FXA APIXABAN (TEST:BHAPIX),apixaban,1,794,2332
ANTI FXA APIXABAN (TEST:MHSQ-APIX),apixaban,1,794,2332
ANTI FXA APIXABAN (TEST:WHAPIX),apixaban,1,794,2332
ANTI FXA FONDAPARINUX (TEST:BHFOND),fondaparinux,1,78,645
ANTI FXA FONDAPARINUX (TEST:DHSQE-FOND),fondaparinux,1,78,645
ANTI FXA FONDAPARINUX (TEST:EL:5200005792),fondaparinux,1,78,645
ANTI FXA FONDAPARINUX (TEST:MHSQ-FOND),fondaparinux,1,78,645
ANTI FXA FRAGMIN (TEST:MHSQ-FRAGM),low_molecular_weight_heparin_induced_platelet_ab,1,730,2811
ANTI FXA LOVENOX (TEST:BHLOVEN),heparin_low_molecular_weight,1,468,5828
ANTI FXA LOVENOX (TEST:MHSQ-LOVEN),heparin_low_molecular_weight,1,468,5828
ANTI FXA LOVENOX (TEST:NHSQE-LOVEN),heparin_low_molecular_weight,1,468,5828
ANTI FXA LOVENOX (TEST:WHLOVEN),heparin_low_molecular_weight,1,468,5828
"ANTI FXA, UNFRACT. (TEST:MHSQ-UFH)",heparin_unfractionated,1,623,20511
"ANTI FXA, UNFRACT. (TEST:NHSQE-UFH)",heparin_unfractionated,1,623,20511
"ANTI FXA, UNFRACT. (TEST:WHUFH)",heparin_unfractionated,1,623,20511
"ANTI FXA, UNFRACT. BLOOD (TEST:EL:5200014481)",heparin_unfractionated,1,623,20511
"ANTI FXA, UNFRACTIONATED BLOOD (TEST:EL:5290007461)",heparin_unfractionated,1,623,20511
ANTI PROTHROMBIN (TEST:BIANTIPT),prothrombin_ab,1,25,88
ANTI PROTHROMBIN (TEST:EL:5200001429),prothrombin_ab,1,25,88
ANTI XA (TEST:BHANTIXA),heparin_low_molecular_weight,1,468,5828
ANTI XA (TEST:DHSQE-ANTIXA),heparin_low_molecular_weight,1,468,5828
ANTI XA (TEST:FHANTIXA),heparin_low_molecular_weight,1,468,5828
ANTI XA (TEST:WHANTIXA),heparin_low_molecular_weight,1,468,5828
ANTI XA BLOOD (TEST:EL:5200001436),heparin_low_molecular_weight,1,468,5828
ANTI XA FOR HEPARIN (TEST:WH601.6025),heparin_low_molecular_weight,1,468,5828
ANTI XA LEVEL (TEST:BH1-455),anti_xa_level_test_bh1-455,3,145,1410
ANTI XA LEVEL (TEST:DHSQE-ANTIXA),heparin_unfractionated,1,623,20511
ANTI-CARDIOLIPIN IGG (TEST:NCCARIGG),cardiolipin_ab_igg,1,756,3266
ANTI-CARDIOLIPIN IGG (TEST:NHCARIGG),cardiolipin_ab_igg,1,756,3266
ANTI-CARDIOLIPIN IGG (TEST:SH200.1102),cardiolipin_ab_igg,1,756,3266
"ANTI-CARDIOLIPIN IGG,MP (TEST:MCANTIGG)",cardiolipin_ab_igg,1,756,3266
ANTI-CARDIOLIPIN IGM (TEST:NCCARIGM),cardiolipin_ab_igm,1,756,3199
ANTI-CARDIOLIPIN IGM (TEST:NHCARIGM),cardiolipin_ab_igm,1,756,3199
ANTI-CARDIOLIPIN IGM (TEST:SH200.1103),cardiolipin_ab_igm,1,756,3199
"ANTI-CARDIOLIPIN IGM,MP (TEST:MCANTIGM)",cardiolipin_ab_igm,1,756,3199
ANTI-PT (TEST:BC1-1193),prothrombin_ab,1,25,88
ANTI-THROMBIN III (TEST:DHSQE-AT3),antithrombin_ag,1,16,37
